0,Damages 2045,Damages 2075,Damages 2105,Utility 2045,Utility 2075,Utility 2105,Lowest income per capita 2045,Lowest income per capita 2075,Lowest income per capita 2105,Highest climate impact per capita 2045,Highest climate impact per capita 2075,Highest climate impact per capita 2105,Distance to treshold 2045,Distance to treshold 2075,Distance to treshold 2105,Population under treshold 2045,Population under treshold 2075,Population under treshold 2105,Intratemporal utility GINI 2045,Intratemporal utility GINI 2075,Intratemporal utility GINI 2105,Intratemporal impact GINI 2045,Intratemporal impact GINI 2075,Intratemporal impact GINI 2105,Atmospheric Temperature 2045,Atmospheric Temperature 2075,Atmospheric Temperature 2105,Industrial Emission 2045,Industrial Emission 2075,Industrial Emission 2105,Total Output 2045,Total Output 2075,Total Output 2105,Intertemporal utility GINI,Intertemporal impact GINI,Total Aggregated Utility
fdamage,0.861,0.491,0.125,0.001,0.001,0.001,0.012,0.015,0.012,0.520,0.392,0.187,0.049,0.114,0.159,0.058,0.024,0.006,0.001,0.001,0.001,0.578,0.043,0.053,0.073,0.019,0.009,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.377,0.000
scenario_pop_gdp,0.104,0.310,0.398,0.641,0.553,0.412,0.955,0.934,0.894,0.005,0.019,0.038,0.901,0.519,0.157,0.865,0.948,0.961,0.991,0.992,0.991,0.102,0.655,0.732,0.149,0.099,0.070,0.137,0.094,0.108,0.989,0.986,0.979,0.896,0.197,0.299
scenario_sigma,0.008,0.053,0.135,0.001,0.001,0.001,0.001,0.002,0.008,0.005,0.036,0.078,0.002,0.081,0.172,0.002,0.002,0.006,0.001,0.001,0.001,0.034,0.034,0.025,0.166,0.204,0.145,0.298,0.149,0.161,0.001,0.001,0.002,0.002,0.034,0.000
miu_period,0.005,0.073,0.167,0.033,0.047,0.069,0.003,0.006,0.017,0.004,0.050,0.143,0.002,0.029,0.094,0.002,0.004,0.005,0.000,0.000,0.000,0.011,0.024,0.022,0.113,0.339,0.427,0.335,0.411,0.367,0.002,0.002,0.002,0.022,0.226,0.070
t2xco2_index,0.003,0.005,0.008,0.001,0.000,0.000,0.001,0.001,0.001,0.003,0.004,0.004,0.002,0.027,0.017,0.002,0.002,0.002,0.002,0.001,0.002,0.066,0.049,0.032,0.105,0.024,0.011,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.003,0.000
fosslim,0.003,0.005,0.008,0.001,0.000,0.000,0.001,0.001,0.001,0.002,0.003,0.004,0.002,0.023,0.017,0.002,0.002,0.002,0.002,0.001,0.002,0.055,0.043,0.028,0.084,0.020,0.010,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.003,0.000
scenario_elasticity_of_damages,0.003,0.005,0.009,0.001,0.000,0.000,0.012,0.019,0.030,0.449,0.444,0.405,0.031,0.069,0.229,0.060,0.009,0.009,0.001,0.001,0.001,0.040,0.035,0.024,0.074,0.019,0.009,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.003,0.000
t2xco2_dist,0.003,0.005,0.009,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.004,0.005,0.002,0.034,0.020,0.002,0.001,0.001,0.001,0.001,0.001,0.035,0.033,0.019,0.065,0.020,0.009,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.003,0.000
scenario_cback,0.002,0.004,0.007,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.003,0.001,0.022,0.014,0.001,0.001,0.001,0.001,0.000,0.001,0.025,0.025,0.016,0.052,0.014,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
scenario_limmiu,0.002,0.008,0.016,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.005,0.012,0.001,0.023,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.025,0.021,0.017,0.029,0.042,0.063,0.030,0.048,0.075,0.000,0.001,0.001,0.000,0.029,0.000
sr,0.001,0.014,0.051,0.053,0.064,0.084,0.012,0.015,0.025,0.004,0.023,0.065,0.004,0.033,0.063,0.004,0.003,0.004,0.000,0.000,0.000,0.006,0.009,0.008,0.026,0.066,0.072,0.072,0.105,0.124,0.002,0.004,0.007,0.056,0.035,0.079
discounting_method,0.001,0.009,0.024,0.106,0.166,0.213,0.001,0.002,0.004,0.001,0.007,0.023,0.001,0.013,0.018,0.001,0.001,0.001,0.000,0.000,0.000,0.010,0.011,0.009,0.025,0.045,0.052,0.043,0.056,0.049,0.000,0.001,0.001,0.007,0.028,0.269
principle_recoded,0.001,0.009,0.019,0.073,0.075,0.124,0.001,0.002,0.004,0.001,0.007,0.015,0.001,0.005,0.013,0.001,0.001,0.001,0.000,0.000,0.000,0.005,0.007,0.006,0.017,0.052,0.068,0.046,0.072,0.058,0.001,0.001,0.001,0.007,0.034,0.155
irstp,0.001,0.007,0.019,0.089,0.091,0.094,0.001,0.001,0.003,0.001,0.005,0.014,0.001,0.008,0.011,0.000,0.001,0.001,0.000,0.000,0.000,0.005,0.008,0.007,0.016,0.033,0.039,0.033,0.051,0.041,0.000,0.001,0.001,0.006,0.023,0.125
treshold level,0.000,0.001,0.004,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.002,0.005,0.004,0.008,0.004,0.013,0.016,0.000,0.000,0.000,0.001,0.003,0.002
