,epsilon_progress,nfe
0,0,0
1,9,100
2,12,1100
3,13,2100
4,13,3100
5,15,4100
6,16,5100
7,17,6100
8,17,7100
9,17,8100
10,18,9100
11,20,10114
12,21,11122
13,22,12130
14,23,13134
15,23,14142
16,23,15150
17,23,16158
18,23,17166
19,23,18174
20,23,19182
21,23,20190
22,23,21198
23,23,22206
24,23,23214
25,23,24222
26,23,25230
27,23,26238
28,23,27246
29,23,28254
30,24,29258
31,24,30266
32,24,31274
33,24,32282
34,24,33290
35,24,34298
36,24,35306
37,24,36314
38,24,37322
39,24,38330
40,24,39338
41,24,40346
42,24,41354
43,24,42362
44,24,43370
45,24,44378
46,24,45382
47,24,46390
48,24,47398
49,24,48406
50,24,49414
