,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intertemporal utility GINI,Intertemporal impact GINI
0,2,956,1,8374.797069514552,4,1,0,2,0,0.374121602656595,0.6085362880721921,0.3935838406591436,0.9166112932603178,0.7207861897845177,0.8529761180563785
1,2,49,1,9939.840810341275,4,1,0,1,0,0.3741594467276317,0.9165238326422914,0.3939077644456184,0.6601676596785477,0.7205197154818714,0.8777006279776846
2,0,634,2,7055.604031010689,5,2,1,1,0,0.2648474771492928,0.6172939135722257,0.17435003443268882,0.9165594321413536,0.7678792608810956,0.8148076004110375
3,2,807,1,10335.320669049252,1,2,0,1,1,0.27690580596225944,0.6579621699739434,0.22469741960345796,0.9166490426811933,0.7432253414902699,0.8434786537995759
4,0,121,1,5424.849126111901,4,2,0,0,1,0.3741617356390809,0.6636034216566788,0.3936056930421001,0.9162804019245352,0.7208244337822485,0.7402845774004464
5,2,919,0,4488.081824774473,5,0,0,2,1,0.26466015248442065,0.49392873003290044,0.17485262183928627,0.9166585903964063,0.7679128457604248,0.8732289194020249
6,2,458,0,12564.683119975822,4,2,1,1,1,0.374112149258864,0.7296479854050014,0.3934403139325472,0.8348672563187564,0.7208437308663883,0.825094573978792
7,2,257,0,9522.263152629266,5,1,1,1,0,0.264746556331238,0.9166136406154971,0.17593076760102308,0.5448797892047803,0.7673999919954809,0.9073738049698914
8,2,927,2,4446.466142448307,4,1,1,1,0,0.37500382306363933,0.6150535148627292,0.4340327143741584,0.7329791274642854,0.7011137498535632,0.9031242441453154
9,2,257,1,9937.829312360333,5,1,1,1,0,0.26527898124005256,0.5704022288100341,0.22054595421292042,0.5990514206404077,0.7521129959921065,0.9164454833027219
10,2,174,1,5304.647210277097,0,1,1,1,0,0.36710707439059076,0.9164488920402307,0.2791259697550394,0.5647226817825061,0.7357388659757947,0.9079119839757473
11,2,927,2,7300.664652833015,2,1,1,0,1,0.30643863465492194,0.5993203884645569,0.3668958700478692,0.7747026013040024,0.7073466448421541,0.9069385222566222
